district,facility,institution,director,address,postal_code,phone_number,opening_hours,childcare_places,group_0_3,group_3_6,group_6_14,group_1_6,nature_3_6,integrational,groups_total,lunch_offer,comments
Sandberg,Studentenwerk,Studentenwerk S-H,Herr Philippi,Thomas-Fincke-Str. 1,24943,65831,08:00-16:00,45,1,1,0,1,0,0,3,X,ab 07:00 bis 08:00 und ab 16:00 bis 17:00 Randzeiten
Sandberg,Kinderinsel,Kinderinsel e. V.,Frau Graudenz,Adelbylund 20,24943,5053413,07:00-16:00,80,2,0,0,4,0,0,6,X,
Sandberg,Schwedenheim,Stadt,Frau Geißler,Helenenallee 17,24937,852375,07:30-16:00,66,0,2,0,2,0,0,4,X,
Sandberg,KiTa im Hof,KJSH Stiftung,Herr Erfurt,Adelbylund 4,24943,80705395,07:00-17:00,30,0,0,0,2,0,0,2,X,
Sandberg,KiTa Freiland,Adelby1 Kinder- und Jugenddienste gGmbH,Frau Wiebe,Freiland 26,24937,40680732,07:30-16:00,36,2,0,0,0,1,0,3,X,Naturgruppe auf dem Campusgelände
Jürgensby,Jørgensby Børnehave,Dansk Skoleforening for Sydslesvig e.V.,Frau Schumacher,Bachstr. 9,24943,26720,07:00-17:00,40,0,2,0,0,0,0,2,Nein,
Jürgensby,Johannisstraße,Stadt,Frau Geißler,Johannisstr. 9,24937,852366,07:30-15:30,40,0,2,0,0,0,0,2,X,
Jürgensby,Lyksborggades Børne-og Ungdomshus,Sydslesvigs danske Ungdomsforeninger,Herr Greffrath,Glücksburgerstr 20,24943,26592,11:30-18:00,106,0,0,6,6,0,0,6,X,
Jürgensby,KiTa Hafenkinder,Adelby1 Kinder- und Jugenddienste gGmbH,Frau Sischka,Angelburger Str. 75/77,24937,50528536,07:30-15:30,25,1,0,0,0,0,0,2,X,
Fruerlund,KiTa Bullerbü,Adelby1 Kinder- und Jugenddienste gGmbH,Frau Kienaß,Schleibogen 6,24943,40683960,07:00-15:30,70,1,1,1,1,2,0,5,X,
Fruerlund,Kindernest Fruerlund,Kindernest Fruerlund e.V.,Frau Gritzki,Schleibogen 2,24943,8403995,07:30-14:00,10,1,0,0,0,0,0,1,X,
Fruerlund,KiTa Kinderkiste,Adelby1 Kinder- und Jugenddienste gGmbH,Frau Erichsen,Travestr. 4-6,24943,16068921,07:00-15:30,35,2,1,0,0,0,0,3,X,
Mürwik,Fjordvejens Børnehave,Dansk Skoleforening for S,Kommisarische Leitung Frau Messerschmidt,Kiefernweg 118,24944,37390,07:30-15:30,40,0,2,0,0,0,0,2,Nein,
Mürwik,Süderlücke,ADS,Frau Hinrichsen,Süderlücke 14,24944,34225,07:00-16:00,80,0,4,0,0,0,0,4,X,
Mürwik,Mürwik,Kirche,Herrr Thomas Droemert,Fördestr. 2,24944,37169,07:00-16:00,75,0,3,0,0,0,1,4,X,
Mürwik,Kilseng Børnehave,Dansk Skoleforening for Sydslesvig e.V.,Frau Heinsen,Mürwiker Str. 153,24944,30378,07:15-15:15,55,0,3,0,0,0,0,3,Nein,
Mürwik,Breedlandweg,ADS,Frau Köppke,Breedlandweg 6,24944,35036,07:00-16:00,50,1,2,0,0,0,0,3,X,
Mürwik,Fruerlund,Stadt,Frau Rux,Fruerlunder Str. 64,24943,852434,07:00-16:00,68,1,2,0,0,1,0,4,X,Naturgr. im Volkspark
Mürwik,Kinder(t)raum,Kinder(t)raum,Frau Krause,Mürwiker Str. 128,24943,9993829,06:30-18:00,70,2,1,0,0,2,0,5,X,Naturgr. in Gartenkolonie Fördeblick
Mürwik,Alle von Anfang an,Lebenshilfe gGmbH,Frau Knutzen-Johannsen,Osterallee 194,24944,50548992,07:30-15:30,10,1,0,0,0,0,0,1,X,
Mürwik,Ostsee-Kinderhaus Flensburg,Ostseeschule Flbg. gGmbH,Frau Klein-Wißmann u. Herr ten Haaf,Klosterholzweg 32,24944,15150731788,07:00-17:00,151,2,2,5,0,1,0,10,X,
Mürwik,Mürwiker Garten,ADS,Frau Reuter,Wasserlooser Weg 2,24943,31551020,07:00-16:00,50,1,2,0,0,0,0,3,X,
Engelsby,Engelsby Børnehave,Dansk Skoleforening for Sydslesvig e.V.,Herr Schönhoff,Neuer Weg 9,24942,65530,07:15-16:15,50,1,2,0,0,0,0,3,X,
Engelsby,Engelsby,Kirche,Herr Plorin,Brahmsstr. 13,24943,61248,07:00-16:00,80,0,4,0,0,0,0,4,X,
Engelsby,Engelsby,Stadt,Frau Rothgaenger,Taruper Weg 5,24943,61735,07:00-16:00,75,0,3,0,0,1,0,4,X,Naturgr. im Weesrieser Gehölz
Engelsby,Jupiterweg,ADS,Frau Callsen,Jupiterweg 30,24943,62234,07:00-16:00,80,2,3,0,0,0,0,5,X,
Engelsby,Engelsby,ADS,Frau Rathmann,Engelsbyer Str. 139,24943,64210,07:30-16:00,15,0,0,0,0,1,0,1,X,Naturgr. im Waldstück Tremmerup/Munkholz
Engelsby,Engelsby Børne- og Ungdomshus,Sydslesvigs danske Ungdomsforeninger,Herr Döstrup,Brahmsstr. 6,24943,63946,11:00-18:00,90,0,0,5,0,0,0,5,X,1 Naturhortgruppe
Tarup,Tarup Børnehave,Dansk Skoleforening for Sydslesvig e.V.,Herr Schönhoff,Taruper Hauptstr. 53,24939,64593,07:15-15:15,40,0,2,0,0,0,0,2,Nein,
Tarup,Tarup,Stadt,Frau Wüstenberg,Sandbergweg 17a,24943,63800,07:00-16:00,80,0,4,0,0,0,0,4,X,
Tarup,KiTa Kiwi (Kinder & Wirtschaft),Adelby1 Kinder- und Jugenddienste gGmbH,Frau Jerschewski,Hochfelder Landstr. 1,24943,49305220,07:30-21:30,105,3,0,0,4,1,0,8,X,frühere und spätere Abholzeiten möglich; Naturgr. auf Grundstück neben der Kita
Tarup,Ringvejens Vuggestue,Dansk Skoleforening for Sydslesvig e.V.,Frau Rasmussen,Ringstr. 2,24943,50548600,07:00-16:00,60,6,0,0,0,0,0,6,X,
